funcion,com,2
que,encontr,2
encontr,que,2
funcion,parec,2
parec,que,2
comput,sin,2
sin,ten,2
ten,internet,2
internet,entonc,2
entonc,profesor,2
profesor,que,2
hab,encontr,2
encontr,mir,2
mir,dij,2
que,sab,6
por,mejor,2
mejor,funcion,2
funcion,bien,2
bien,asi,2
si,funcion,2
funcion,investig,2
investig,profesor,2
profesor,comput,2
comput,entonc,2
entonc,vien,2
vien,si,2
si,dij,2
dij,pregunt,2
pregunt,com,2
hac,llam,2
llam,usted,2
usted,chic,1
chic,ingres,2
ingres,voy,2
ingres,que,4
deb,hac,2
hac,lueg,1
lueg,dond,2
dic,unid,2
3,si,2
bien,ahi,2
ahi,a,1
dec,pong,1
pong,dond,2
tem,da,2
da,mism,2
si,jueg,2
jueg,oye,1
oye,tem,2
tem,empez,2
empez,jueg,2
jueg,usted,1
usted,tem,2
quier,ingres,2
jueg,si,1
si,carg,2
carg,silenci,1
silenci,que,2
que,despues,2
despues,que,2
que,tem,2
quier,a,2
a,respond,2
pregunt,compañer,2
compañer,correct,1
mal,empez,1
empez,a,2
carg,pregunt,2
pregunt,martin,2
martin,letr,1
letr,se,2
se,carg,2
carg,que,2
dic,arrib,2
arrib,respond,2
aparec,termin,2
termin,mir,1
mir,siguient,2
siguient,tiemp,1
tiemp,total,2
total,que,2
que,vas,2
vas,hac,2
hac,recuerd,2
ahi,pod,2
pod,sab,2
se,usted,2
usted,se,2
se,aparec,2
aparec,que,2
que,dond,2
usted,pued,4
pued,mas,2
mas,correct,3
correct,mir,2
mir,bien,2
bien,se,2
se,dic,2
dic,minut,2
minut,cad,2
cad,dia,2
dia,ciert,2
ciert,pas,2
pas,10,2
10,minut,2
minut,hac,2
hac,este,2
este,tiemp,1
tiemp,cual,2
sab,carg,1
pas,pues,2
pues,voy,2
voy,hic,1
hic,ecuacion,2
por,fich,2
fich,algebr,2
algebr,mas,2
mas,abaj,2
abaj,despues,2
despues,ecuacion,2
cuant,ahi,1
que,pon,2
men,1,4
1,men,2
men,2,2
2,men,4
1,4,1
4,ahor,2
ahor,usted,2
usted,va,4
cuant,valor,4
valor,sin,2
sin,igual,2
igual,cuant,2
valor,3,2
pues,que,2
ingres,trabaj,2
trabaj,lad,1
lad,si,2
trabaj,si,2
pued,ingres,2
ingres,dej,1
dej,hac,2
por,despues,2
despues,comput,2
comput,se,2
se,ingres,1
que,aqu,3
aqu,coloc,2
coloc,ecuacion,2
represent,cuant,2
cuant,1,1
1,ahi,2
ahi,mas,2
men,que,4
que,cont,2
cont,cantid,2
cantid,men,1
que,sign,2
sign,cuant,2
cuant,2,2
men,5,5
5,igual,3
que,sal,4
a,cuant,2
cuant,entonc,2
entonc,despues,2
despues,iba,2
iba,a,2
resolv,ecuacion,10
cuant,val,8
val,que,3
aqu,tres,2
tres,aqu,2
letr,ciert,2
ciert,ahor,2
ahor,numer,2
men,valor,2
cuant,men,2
men,si,2
si,igual,2
ecuacion,ahor,2
ahor,aqu,2
aqu,vas,2
vas,a,2
ecuacion,va,2
a,dar,4
dar,valor,2
ecuacion,este,2
este,alla,2
alla,3,2
cuant,numer,4
numer,men,2
5,cuant,2
numer,cual,2
represent,a,2
que,hor,2
hor,usted,2
busc,valor,2
valor,va,2
a,resolv,2
val,dic,2
que,13,1
13,4,2
4,que,2
incognit,igual,1
igual,com,2
com,hic,2
hic,pizarr,2
pizarr,13,2
13,men,2
a,4,2
4,ciert,4
entonc,va,2
dej,este,2
que,va,3
dar,ahi,2
ahi,9,2
9,ciert,2
ciert,sol,2
sol,este,2
este,multiplic,2
multiplic,pas,2
pas,divid,2
divid,9,2
9,divid,2
divid,13,2
13,cuant,2
val,3,1
3,metr,4
metr,mas,4
mas,3,1
que,perimetr,2
perimetr,14,2
14,ecuacion,2
ecuacion,falt,2
falt,si,2
si,chic,2
chic,que,2
que,marc,4
marc,mas,4
correct,hab,2
hab,que,2
mas,dic,1
dic,marc,2
marc,tod,2
tod,que,2
que,correct,4
correct,chic,2
chic,pas,2
pas,por,2
por,alla,2
alla,vam,1
ver,si,2
si,pued,2
pued,revis,2
termin,si,1
bien,sal,2
sal,igual,2
que,siempr,2
siempr,segun,2
sal,que,2
que,niñ,2
se,marc,2
marc,ultim,1
vez,mas,2
vez,parec,2
parec,aqu,2
aqu,busc,2
busc,curs,2
curs,voy,2
busc,que,2
ahor,aparec,2
aparec,sol,2
sol,unid,2
unid,aparec,2
aparec,quier,1
sab,si,2
a,ahi,2
si,pud,2
pud,clas,1
clas,ahor,2
ahor,pued,2
pued,ver,2
ver,respuest,2
respuest,sal,1
sal,asi,2
que,verd,4
verd,que,2
correct,que,2
que,com,4
com,clas,2
clas,ver,2
com,porcentaj,1
porcentaj,que,4
aparec,diferent,1
diferent,ahor,2
a,mir,2
mir,aca,2
aca,qued,2
qued,tiemp,2
tiemp,quier,2
quier,nombr,2
nombr,recuerd,1
trabaj,van,2
a,parec,4
parec,tod,2
tod,sol,2
vec,termin,2
termin,tod,2
tod,va,2
parec,silenci,2
silenci,se,1
se,termin,2
termin,jueg,4
jueg,termin,2
jueg,va,2
va,com,2
silenci,a,2
a,grup,2
grup,se,2
llam,aqu,2
aqu,a,4
vec,qued,2
qued,si,2
si,usted,2
usted,pon,2
que,mir,2
mir,respuest,2
aqu,porcentaj,2
porcentaj,chiquill,1
chiquill,porcentaj,2
verd,ciert,2
que,mayor,4
mayor,correct,1
correct,este,2
cas,cual,2
cual,por,2
por,cual,2
mayor,porcentaj,4
porcentaj,si,2
si,porcentaj,2
porcentaj,4,1
4,mayor,2
porcentaj,aqu,1
hab,hech,2
hech,vez,2
vez,pas,2
si,aqu,2
aqu,mir,2
mir,aqu,4
mas,porcentaj,2
porcentaj,recuerd,2
que,igual,2
igual,da,1
da,que,2
pued,lleg,2
lleg,mir,2
aqu,va,2
va,cuant,2
va,por,1
por,ir,2
ir,correct,2
correct,tod,2
tod,1,2
1,chic,2
chic,objet,1
clas,resolv,2
ciert,ayud,2
ayud,estrategi,2
estrategi,objet,2
clas,se,2
se,hiz,2
hiz,mas,2
facil,se,1
se,realiz,2
facil,despues,2
despues,estrategi,2
estrategi,resolv,2
trabaj,tabl,2
tabl,ayud,2
ayud,a,4
a,entreg,1
entreg,martin,2
martin,ayud,2
entreg,text,2
text,correct,2
correct,da,2
da,segu,2
segu,algun,2
dud,algun,2
algun,hoy,1
hoy,que,2
que,tan,2
tan,algun,2
algun,clas,2
clas,va,2
a,llam,2
llam,esper,1
gust,clas,2
clas,dej,2
dej,much,2
much,graci,2
